title,url,company,location,tags,easily_apply,description,page
Senior Machine Learning Engineer (Brahma),https://uk.indeed.com/viewjob?jk=88aae1ae50461a6d,DNEG,London W1W,,No,"Ability to mentor juniorengineersand work independently.;As a senior member of the team, you’ll shape core infrastructure, set best practices, communicate…",15
Infrastructure/DevOps Engineer,https://uk.indeed.com/viewjob?jk=c8c01450995dc3c4,Metropolitan Police,Southwark,Pay rise;Company pension,No,"Using your technical experience to design, develop, and support new IT systems, as well as using your expertise to provide hands-on assistance to the team to…",15
Principal Software Engineer - Python,https://uk.indeed.com/viewjob?jk=719cbc02de8742b4,LSEG (London Stock Exchange Group),London,Paid volunteer time,No,"You will combine strategic thinking, strong problem-solving skills and a collegiate approach to working.;Design and development of scalable software.",15
Python Backend Lead,https://uk.indeed.com/viewjob?jk=a9e62449ef6bfeb3,Specter Labs,London,,No,"We have been building a new Python/FastAPI backend to support a faster, more scalable, and more complex product.;Strong experience with Python & FastAPI.",15
Software Engineer (IAM),https://uk.indeed.com/viewjob?jk=648c887f1751b956,Red Sift,Hybrid work in London W1F 8GR,,No,"We ensure seamless, secure user experiences while maintaining robust access controls, empowering teams to innovate confidently on a trusted foundation.",15
Principal Data Science & ML Engineering Consultant,https://uk.indeed.com/viewjob?jk=11f0e3a76c521f96,"EPAM Systems, Inc.",London,,No,"Work with cross-functional teams, including dataengineers, software developers and business stakeholders, to ensure the successful implementation of ML…",15
DevOps Engineer,https://uk.indeed.com/viewjob?jk=0cf13cceddce6a0c,RedCloud,Hybrid work in London EC2Y,,No,"You’ll be part of a team ofengineerswho implement our DevOps practices, delivery pipelines as well as identifying production issues and performance…",15
Lead Data Scientist,https://uk.indeed.com/viewjob?jk=894b7f56b1171917,S&P Global,London,,No,"London, United Kingdom; Gdansk, Poland.;Grade Level (for internal use):;The Capital IQ Solutions Data Science team supports the S&P Capital IQ Pro platform with…",15
Principal Software Engineer,https://uk.indeed.com/viewjob?jk=9b0c373921e87f00,Sage,Hybrid work in London,,No,Problem Translation: Collaborate with product managers and machine learningengineersto translate product/business problems into tractable machine learning…,16
Research Associate in Machine Learning for Offshore Engineering,https://uk.indeed.com/viewjob?jk=13b8718429dc310a,Imperial College London,South Kensington,Company pension,No,"Collaborate with a multidisciplinary team of structuralengineers, mechanicalengineersand HPC specialists to ensure maximum impact including through…",16
Senior Data Scientist,https://uk.indeed.com/viewjob?jk=2148d690a87e4fe9,S&P Global,London,Referral programme;Employee discount,No,"Collaborate closely with product teams, business stakeholders, andengineersto ensure seamless integration of NLP models into production systems.",16
Software Engineer - Site Reliability Engineering,https://uk.indeed.com/viewjob?jk=4ed010d86a86fc22,Neo4j,London,,No,"Neo4j is the leader in Graph Database & Analytics, helping organizations uncover hidden patterns and relationships across billions of data connections deeply,…",16
Senior GenAI Engineer – Python (FX Tech),https://uk.indeed.com/viewjob?jk=65d85a2b57cb6f13,Citi,Hybrid work in London,Annual leave;Employee discount;Life insurance;Employee assistance programme;Company pension;Private medical insurance,No,"We enable clients to achieve their strategic financial objectives by providing them with cutting-edge ideas, best-in-class products and solutions, and…",16
Senior Software Engineer,https://uk.indeed.com/viewjob?jk=48a55f9aa5dbe857,Moody's,London E14,,No,"Guide juniorengineers, set technical direction, and champion best practices in system design and observability.",16
Senior Software Engineer (Experiences Squad),https://uk.indeed.com/viewjob?jk=870dbb4e9b179cad,Epsilon,Hybrid work in London W12 7FR,,No,"We ship code into production on a weekly basis; fostering a continuous delivery mentality, paired with CI systems, enables us to release new features to…",16
Full Stack Developer / Software Engineer,https://uk.indeed.com/viewjob?jk=04204be2ee5295c2,SunGod,Hybrid work in London SE1 7NN,Paid volunteer time;Flexible schedule;Cycle to work scheme,No,"Full-time starting October 2025, with hybrid working.;Mid (minimum 3 years experience).;Generous 30 days holiday allowance plus bank holidays.",16
Software Engineer - Cypher Surface,https://uk.indeed.com/viewjob?jk=e3ebcae6de9a528c,Neo4j,London,,No,"Neo4j is the leader in Graph Database & Analytics, helping organizations uncover hidden patterns and relationships across billions of data connections deeply,…",16
"Mobile Application Developer - London, UK",https://uk.indeed.com/viewjob?jk=c1f6b61e01e1d0c4,Newsroom AI,Hybrid work in London,,No,"A highly capable and ambitious engineering team, responsible for overcoming difficult technical challenges to bring our users industry leading usability,…",16
Senior Product Engineer,https://uk.indeed.com/viewjob?jk=7dd9ad5dfa7fbdd2,Intercom,Hybrid work in London,,No,"Ship a change to production on your first day and a feature in your first week.;5+ years of industry experience in a software engineering role, preferably…",17
Senior Machine Learning Engineering Manager,https://uk.indeed.com/viewjob?jk=8e1967f186aaf95e,Quantcast,London,,No,"As a Senior Machine Learning Engineering Manager, you will lead and develop a team of Machine LearningEngineersto execute the engineering vision and roadmap…",17
"Staff Software Engineer, Query Execution",https://uk.indeed.com/viewjob?jk=b134c8d32ea1d2c6,MongoDB,Remote in London,,No,"Atlas allows customers to build and run applications anywhere—on premises, or across cloud providers.;Our team plays a crucial role in the performance and…",17
Full Stack Engineer,https://uk.indeed.com/viewjob?jk=7740df563ad23a2b,PERLON AI LTD,London,,No,Work alongside a skilled team of experienced and high-performingengineersand commercial operators.;McKinsey estimates that genAIcould open up an incremental…,17
Lead DevOps Engineer,https://uk.indeed.com/viewjob?jk=f0cb019395d791fd,Mastercard,London EC4R 3AB,,No,"As a Lead MLOpsEngineerat Mastercard, you'll play a pivotal role focusing on the seamless deployment, operationalization, and continuous improvement of our AI…",17
Machine Learning Manager,https://uk.indeed.com/viewjob?jk=a16fa2b696d7e8e1,Isomorphic Labs,Hybrid work in London,,No,"You will lead a talented team of ML and full stack softwareengineers, guiding them in building robust, scalable, and innovative machine learning systems and…",17
"Native Engineer, Platform Services - London",https://uk.indeed.com/viewjob?jk=f835775e8dedd375,HERE,Hybrid work in London,,No,Engage with our support and salesengineersto help shape the roadmap for our products.;Creating applications and frameworks on the Windows platform using .,17
Senior Software Engineer,https://uk.indeed.com/viewjob?jk=96b580765ab685c4,Tipalti,London,,No,"Our tech teams are the engine behind our business.;Lunch paid for 3 days a week in the office (Monday, Tuesday and Thursday).",17
Principal Data Scientist,https://uk.indeed.com/viewjob?jk=70e60a507b69ba98,Sky,Hybrid work in London,Shuttle service provided;Company pension;Discounted gym membership,No,"Engage with our technology teams and dataengineersto build compliant, efficient and scalable solutions.;Data science is at the heart of decision making in Sky…",17
Full Stack Developer,https://uk.indeed.com/viewjob?jk=f5522457f35c48cd,Linux Recruit,London,,No,"A company on track to become the next tech unicorn.... with an enterprise developer platform featuring interactive graphical interfaces, robust natural-language…",17
"Staff Software Engineer, Square for Franchises",https://uk.indeed.com/viewjob?jk=f062fcdeceb9f64b,"Block, Inc.",London,,No,"Partner closely with engineering managers, product managers, productengineers, and business leads to define our roadmap.",17
Lead Software Engineer,https://uk.indeed.com/viewjob?jk=7128575a370e94fb,NatureMetrics,Hybrid work in London,,No,This is a hands-on role where you will provide thought leadership to a talented team of developers while contributing directly to key architectural and…,17
Software Engineering Manager - Client Engineering,https://uk.indeed.com/viewjob?jk=b9bcfe5fdc4d6340,Kaluza,Hybrid work in London,Employee discount;Company pension;Private medical insurance,No,"Be passionate about growing and mentoringengineerswithin your teams.;You will look after up to 2 teams ofengineers, up to 10 direct reports.",17
"Senior Machine Learning Engineer, Treasury",https://uk.indeed.com/viewjob?jk=74b2375f28a46b79,Remitly,London W1T 4EZ,Employee stock purchase plan,No,We're looking for a Machine LearningEngineerto design and build scalable ML models that power critical treasury decisions.,17
Machine Learning Scientist,https://uk.indeed.com/viewjob?jk=22229e42ab851ffc,Expedia Group,Hybrid work in London EC1V 4EX,Relocation assistance,No,"Collaborate withengineers, analysts, and product partners to deliver robust, scalable, and business-driven solutions.",17
Senior Machine Learning Engineer,https://uk.indeed.com/viewjob?jk=fd86579f9c7c3ca9,MOTORS & Cazoo,Remote in Richmond TW9 1EJ,Permanent;Sick pay;Private dental insurance;Company pension;Discounted or free food;Private medical insurance,No,"You'll play an integral part in building robust, reliable, and scalable machine learning use cases.;You'll work alongside stakeholders, data specialists and…",18
